iter	Passed	Remaining
0	134	134277
1	135	67495
2	135	45186
3	136	34056
4	138	27559
5	140	23240
6	141	20011
7	141	17607
8	143	15764
9	143	14252
10	144	13009
11	145	11973
12	146	11093
13	146	10341
14	147	9698
15	148	9130
16	149	8624
17	150	8193
18	151	7807
19	152	7485
20	154	7208
21	155	6915
22	156	6640
23	157	6391
24	157	6156
25	158	5939
26	159	5737
27	159	5548
28	160	5373
29	161	5209
30	161	5057
31	162	4918
32	163	4791
33	164	4669
34	165	4556
35	166	4460
36	168	4381
37	169	4289
38	170	4199
39	171	4113
40	172	4031
41	173	3947
42	173	3868
43	174	3793
44	175	3722
45	176	3656
46	177	3590
47	178	3530
48	178	3473
49	179	3418
50	181	3382
51	183	3339
52	184	3291
53	185	3241
54	185	3194
55	186	3147
56	187	3104
57	188	3061
58	189	3021
59	190	2981
60	191	2944
61	192	2907
62	193	2870
63	193	2835
64	195	2807
65	196	2782
66	198	2761
67	199	2739
68	200	2708
69	201	2678
70	202	2647
71	202	2615
72	203	2585
73	204	2559
74	205	2531
75	206	2505
76	206	2479
77	207	2454
78	208	2431
79	209	2412
80	211	2401
81	213	2384
82	213	2359
83	214	2337
84	215	2317
85	215	2295
86	216	2274
87	217	2253
88	218	2234
89	219	2215
90	219	2196
91	220	2177
92	221	2160
93	222	2145
94	223	2131
95	225	2120
96	226	2109
97	227	2094
98	228	2079
99	229	2063
100	230	2047
101	230	2031
102	231	2015
103	232	1998
104	232	1983
105	233	1967
106	233	1952
107	234	1938
108	235	1925
109	236	1911
110	237	1898
111	238	1887
112	238	1876
113	240	1871
114	241	1861
115	242	1849
116	243	1835
117	244	1824
118	244	1811
119	245	1798
120	245	1786
121	246	1773
122	247	1762
123	247	1750
124	248	1739
125	249	1728
126	249	1716
127	250	1706
128	251	1695
129	251	1685
130	252	1677
131	253	1669
132	255	1665
133	256	1656
134	257	1647
135	257	1637
136	258	1628
137	262	1637
138	266	1647
139	268	1647
140	270	1646
141	271	1641
142	273	1636
143	274	1632
144	277	1634
145	279	1636
146	281	1630
147	282	1624
148	283	1618
149	284	1611
150	285	1604
151	286	1598
152	287	1593
153	288	1586
154	289	1580
155	291	1574
156	292	1570
157	294	1567
158	295	1560
159	295	1553
160	296	1545
